Entity,Day,Training dataset size,Domain
Pointer Sentinel-LSTM (medium),2016-09-26,929000,Language
PolyCoder,2022-02-26,39300000000,Language
PolyNet,2016-11-17,1280000,Vision
Pooling CNN (Caltech 101),2010-09-15,3060,Vision
Pooling CNN (NORB),2010-09-15,24300,Vision
Predictive Coding NN,1994-12-02,600000,Language
ProBERTa,2020-09-01,58320000,Biology
ProGen2-xlarge,2022-06-27,350000000000,Biology
Projected GAN,2021-11-01,3000000,Image generation
ProtBERT-BFD,2021-05-04,58950000000,Biology
ProtT5-XL-U50,2021-05-04,19582371375,Biology
ProteinBERT,2022-02-10,37598200000,Biology
ProteinDT,2023-02-09,132303900,Multiple domains
Prototypical networks,2017-03-15,38400,Vision
PyramidNet,2017-09-06,1280000,Vision
Q-learning,1989-01-01,200000,Multiple domains
QRNN,2018-02-01,103000000,Language
Qwen-72B,2023-11-30,3000000000000,Language
Qwen-VL,2023-08-24,500000000000,Multiple domains
Qwen1.5-72B,2024-02-04,3000000000000,Language
Qwen2-72B,2024-06-07,7000000000000,Language
Qwen2.5-32B,2024-09-17,18000000000000,Language
Qwen2.5-72B,2024-09-19,18000000000000,Language
Qwen3-235B-A22B,2025-04-29,36000000000000,Language
Qwen3-235B-A22B (Jul 2025),2025-07-25,36000000000000,Language
Qwen3-235B-A22B-Thinking (Jul 2025),2025-07-25,36000000000000,Language
Qwen3-Coder-480B-A35B,2025-07-22,7500000000000,Language
Qwen3-Max,2025-09-05,36000000000000,Language
Qwen3-Omni-30B-A3B,2025-09-22,2000000000000,Multiple domains
R-FCN,2016-06-21,10624000,Vision
RAAM,1990-11-01,29,Other
RBM Image Classifier,2009-04-08,6144050000,Vision
RCTM,2013-10-01,4500000,Language
RECONTRA-categorized,1999-06-02,40000,Language
RECONTRA-uncategorized,1999-06-02,57500,Language
RETRO-7B,2022-02-07,419430400000,Language
RNN LM,2010-09-26,6400000,Language
RNN for 1B words,2013-12-11,1000000000,Language
RNN+LDA+KN5+cache,2012-12-01,929000,Language
RNNsearch-50*,2014-09-01,232000000,Language
RNTN,2013-10-01,155063,Language
RankNet,2005-08-07,3464289,Other
ReALM,2024-03-29,134000000000,Language
ReLU (LFW),2010-06-15,233280,Vision
ReLU (NORB),2010-06-15,291600,Vision
Reading Twice for NLU,2017-06-08,200000,Language
Recursive Neural Network,2011-06-28,573285,Multiple domains
Relational Memory Core,2018-06-05,4000000000,Language
ResNeXt-101 (64×4d),2016-11-16,1280000,Vision
ResNeXt-101 32x48d,2018-05-02,940000000,Vision
ResNeXt-101 Billion-scale,2019-05-02,90000000,Vision
ResNeXt-50,2016-11-16,1280000,Vision
ResNet-1001,2016-09-17,50000,Vision
ResNet-101 (ImageNet),2015-12-10,1280000,Vision
ResNet-110 (CIFAR-10),2015-12-10,50000,Vision
ResNet-152 (ImageNet),2015-12-10,1280000,Vision
ResNet-200,2016-09-17,1281167,Vision
RetinaNet-R101,2017-08-07,115000,Vision
RetinaNet-R50,2017-08-07,11500000000,Vision
Retrieval-Augmented Generator,2020-05-22,3074560,Language
RoBERTa Large,2019-07-01,42666666666,Language
RoFormer,2023-11-08,3276800000,Language
RoseTTAFold All-Atom (RFAA),2023-10-09,63240960,Biology
Routing Transformer (WT-103),2020-03-12,103000000,Language
S-Norm,2017-10-29,1060000,Language
S4,2021-10-31,103000000,Language
SAF R-CNN,2015-10-28,350000,Vision
SB-LM,2007-06-22,1800000000000,Language
SC-NLM,2014-11-10,5000000,Multiple domains
SEER,2021-07-29,1000000000,Vision
SENet (ImageNet),2017-09-05,1280000,Vision
SNM-skip,2014-12-03,800000000,Language
SOM-CNN,1997-01-31,129000,Vision
SPIDER2,2016-10-28,13893600,Biology
SPN (ImageNet 128),2018-12-04,251658240000,Image generation
SPN-4+KN5,2014-09-14,929000,Language
SPPNet,2014-06-18,1280000,Vision
SRGAN,2017-05-25,700000,Multiple domains
SRU++ Large,2021-02-24,103000000,Language
SSD,2015-12-08,2300000,Vision
