Entity,Day,Number of parameters
Neocognitron,1980-04-01,1140576
NetTalk (dictionary),1987-06-06,18629
NetTalk (transcription),1987-06-06,18629
Neural LM,2000-11-28,6906980
NeuroChess,1994-12-02,72251
Noisy Student (L2),2019-11-11,480000000
Nucleotide Transformer,2023-01-15,2500000000
NÜWA,2021-11-24,870000000
ONE-PEACE,2023-05-18,4000000000
OPT-175B,2022-05-02,175000000000
OR-WideResNet,2017-01-07,18200000
Octo-Base,2024-05-20,93000000
Olmo 3,2025-11-20,32000000000
OmegaPLM,2022-07-22,670000000
Once for All,2020-04-29,7700000
OntoProtein,2022-01-23,420000000
OpenAI Five,2019-12-13,159000000
OpenAI Five Rerun,2019-12-13,159000000
OpenVLA,2024-06-13,7188100000
Oryx 34B,2024-09-19,34000000000
OverFeat,2013-12-21,144000000
P1-235B-A22B,2025-11-17,235000000000
PLATO-XL,2021-09-20,11000000000
PLUG,2021-04-19,27000000000
PPLX-70B-Online,2023-11-29,70000000000
PaLI,2022-09-14,16900000000
PaLI-3,2023-10-17,5000000000
PaLI-X,2023-05-29,55000000000
PaLM (540B),2022-04-04,540350000000
PaLM 2,2023-05-10,340000000000
PaLM-E,2023-03-06,562000000000
Palmyra X 003,2024-01-01,72000000000
Palmyra X 004,2024-10-09,150000000000
PanGu-Σ,2023-03-20,1085000000000
Pangu Ultra,2025-04-10,135000000000
Pangu-Weather,2023-07-05,256000000
Paragraph Vector,2014-05-14,32000000
Parti,2022-06-22,20000000000
Pattern recognition and reading by machine,1959-12-01,2625
Perceiver IO (optical flow),2020-02-08,27900000
Perceptron (1960),1960-03-30,1000
Perceptron Mark I,1957-01-01,1000
PermuteFormer,2021-09-06,149697024
Phenaki,2022-10-05,1800000000
Piecewise linear model,1973-11-01,357
Pixtral Large,2024-11-18,124000000000
PoE MNIST,2000-11-28,3925310
Pointer Sentinel-LSTM (medium),2016-09-26,21000000
PolyCoder,2022-02-26,2700000000
PolyNet,2016-11-17,92000000
Pooling CNN (Caltech 101),2010-09-15,294912
Pooling CNN (NORB),2010-09-15,268664
PreTrans-3L-250H,2013-03-22,43000000
Predictive Coding NN,1994-12-02,206910
ProBERTa,2020-09-01,44000000
ProGen2-xlarge,2022-06-27,6400000000
ProtBERT-BFD,2021-05-04,420000000
ProtT5-XL-U50,2021-05-04,3000000000
ProteinBERT,2022-02-10,16000000
PyramidNet,2017-09-06,26000000
QRNN,2018-02-01,135000000
QwQ-32B,2025-03-06,32500000000
Qwen Image,2025-08-04,27000000000
Qwen-72B,2023-11-30,72000000000
Qwen-Audio-Chat,2023-11-14,8460000000
Qwen-VL,2023-08-24,9600000000
Qwen-VL-Max,2024-01-25,7000000000
Qwen1.5-72B,2024-02-04,72000000000
Qwen2-72B,2024-06-07,72710000000
Qwen2.5 Instruct (72B),2024-09-19,72700000000
Qwen2.5-32B,2024-09-17,32500000000
Qwen2.5-72B,2024-09-19,72700000000
Qwen3 Embedding,2025-06-05,8000000000
Qwen3-235B-A22B,2025-04-29,235000000000
Qwen3-235B-A22B (Jul 2025),2025-07-25,235000000000
Qwen3-235B-A22B-Thinking (Jul 2025),2025-07-25,235000000000
Qwen3-Coder-480B-A35B,2025-07-22,480000000000
Qwen3-Coder-Next,2026-02-02,80000000000
Qwen3-Max,2025-09-05,1000000000000
Qwen3-Omni-30B-A3B,2025-09-22,35300000000
Qwen3.5 397B-A17B,2026-02-13,397000000000
Qwen3.5-122B-A10B,2026-02-24,122000000000
R-CNN (T-net),2013-11-11,69003872
RAAM,1990-11-01,1536
RBM Image Classifier,2009-04-08,80000000
RDT-1B,2024-10-10,1200000000
RECONTRA-categorized,1999-06-02,66780
RECONTRA-uncategorized,1999-06-02,112000
RETRO-7B,2022-02-07,7500000000
RNN LM,2010-09-26,70265000
RNN for 1B words,2013-12-11,20000000000
RNN+LDA+KN5+cache,2012-12-01,9000000
RNN-WER,2014-06-22,26500000
RT-1,2022-12-13,35000000
RT-2,2023-07-28,55000000000
RT-2-X,2023-10-13,55000000000
RankNet,2005-08-07,5711
Rational DQN Average,2021-02-18,1683456
ReALM,2024-03-29,3000000000
ReLU (NORB),2010-06-15,16210006
ReLU-Speech,2013-05-26,101706240
Reka Core,2024-04-15,67000000000
ResNeXt-101 (64×4d),2016-11-16,83000000
ResNeXt-101 32x48d,2018-05-02,829000000
ResNeXt-101 Billion-scale,2019-05-02,193000000
ResNeXt-50,2016-11-16,25000000
ResNet-1001,2016-09-17,10200000
ResNet-101 (ImageNet),2015-12-10,44500000
ResNet-110 (CIFAR-10),2015-12-10,1700000
ResNet-152 (ImageNet),2015-12-10,60200000
RetinaNet-R101,2017-08-07,53000000
RetinaNet-R50,2017-08-07,34000000
Retrieval-Augmented Generator,2020-05-22,626000000
RoBERTa Large,2019-07-01,355000000
RoFormer,2023-11-08,110000000
Robot Parkour,2023-09-12,500000
Routing Transformer (WT-103),2020-03-12,79500000
S4,2021-10-31,249000000
SAF R-CNN,2015-10-28,138000000
SB-LM,2007-06-22,300000000000
SEER,2021-07-29,1300000000
SENet (ImageNet),2017-09-05,28100000
SNARC,1952-01-08,40
SNM-skip,2014-12-03,62000000000
SOM-CNN,1997-01-31,32015
SPHINX (Llama 2 13B),2023-11-13,19900000000
SPIDER2,2016-10-28,409536
SPN (ImageNet 128),2018-12-04,250000000
SPN-4+KN5,2014-09-14,5000000
SRU++ Large,2021-02-24,234000000
ST-MoE,2022-02-17,269000000000
STORM-B/8,2024-12-31,100598707
SVM-CNN,2006-06-17,90857
Samuel Neural Checkers,1959-07-01,16
Sandwich Transformer,2019-11-10,209000000
SciBERT,2019-03-26,110000000
SeamlessM4T,2023-12-08,2300000000
Seed-1.6-Thinking,2025-06-11,230000000000
"Segatron-XL large, M=384 + HCP",2022-03-21,257000000
Segment Anything Model,2023-04-05,636000000
Self Organizing System,1955-03-01,225
SenseChat 5.5,2024-07-06,600000000000
Seq2Seq LSTM,2014-09-10,1920000000
SexNet classification,1990-10-01,1640
SexNet compression,1990-10-01,72940
ShuffleNet v1,2017-07-03,2430000
Siamese-TDNN,1993-08-01,744
SigLIP 400M,2023-03-27,400000000
SimCLR,2020-02-13,375000000
SimpleNet,2016-08-22,5480000
Skywork-13B,2023-10-30,13000000000
Solar Open 100B
,2025-12-31,102000000000
Sparse all-MLP,2022-04-14,9410000000
Speaker-independent vowel classification,1989-11-27,3040
SqueezeNet,2016-02-24,1200000
Stable Diffusion (LDM-KL-8-G),2022-04-13,1450000000
Stable Diffusion 3,2024-02-22,8000000000
Stable Diffusion XL (SDXL),2023-07-04,3400000000
StarCoder,2023-05-09,15500000000
Statement Curriculum Learning,2022-03-02,774000000
StyleGAN,2018-12-12,26200000
StyleGAN2,2019-12-03,30000000
StyleGAN3-R,2021-06-21,1580000
StyleGAN3-T,2021-06-21,2230000
Super-vector coding,2010-01-01,1025
Support Vector Machines,1995-09-01,100000000
Swift,2023-08-30,56804
Swin Transformer V2 (SwinV2-G),2021-11-18,3000000000
Switch,2021-01-11,1571000000000
System 11,1996-06-18,6452
T-NLRv5 XXL,2021-12-03,5400000000
T5-11B,2019-10-23,11000000000
T5-3B,2019-10-23,2800000000
TA-CNN,2014-11-29,706048
TC-DNN-BLSTM-DNN,2015-04-06,18413568
TCAN (WT2),2020-02-28,33000000
TCN (P-MNIST),2018-02-15,42000
TD-Gammon,1992-05-01,25000
TML-Interaction-Small,2026-05-11,276000000000
TRPO,2015-02-19,33500
TaLK Convolution,2020-02-08,240000000
Table Tennis Agent,2024-08-07,185000
Telechat2-115B,2024-09-20,115000000000
Template Adaptation
,2016-03-12,138000000
Tensor-Transformer(1core)+PN (WT103),2020-03-17,85300000
Theseus,1950-07-02,40
Theseus 6/768,2020-02-07,66000000
Tongyi DeepResearch,2025-10-28,30500000000
TrOCR,2021-09-21,558000000
Tranception,2022-05-27,700000000
TransE,2013-12-05,942000000
Transformer (2017),2017-06-12,213000000
Transformer (Adaptive Input Embeddings) WT103,2018-09-28,247000000
Transformer + Simple Recurrent Unit,2018-09-17,90000000
Transformer - LibriVox + Decoding/Rescoring,2019-11-19,296000000
Transformer ELMo,2019-01-01,56000000
Transformer local-attention (NesT-B),2021-05-26,90100000
Transformer-XL (257M),2019-01-09,257000000
Transformer-XL + RMS dynamic eval,2019-04-17,257000000
Transformer-XL DeFINE (141M),2019-11-27,141000000
Transformer-XL Large + Phrase Induction,2019-06-04,257000000
TransformerXL + spectrum control,2020-03-11,151000000
Translation-invariant MLP,1987-06-15,816
TrellisNet,2018-10-15,180000000
Truck backer-upper,1989-06-18,805
True-Regularization+Finetune+Dynamic-Eval,2019-04-08,7000000
Turing ULRv5,2021-09-28,2200000000
Turing-NLG,2020-02-13,17000000000
Two Stage Feature Extraction (MNIST),2009-09-01,258800
U-Net,2015-05-18,37676160
U-PaLM (540B),2022-10-20,540000000000
UDSMProt,2019-09-04,28303800
UL2,2022-05-10,20000000000
Unicorn,2021-03-24,11000000000
UnifiedQA,2020-05-02,11000000000
Unsupervised High-level Feature Learner,2012-07-12,1000000000
VAETKI
,2025-12-30,100000000000
VALL-E,2023-01-05,353000000
VD-LSTM+REAL Large,2016-11-04,51000000
VGG-Face,2015-01-01,138000000
VGG16,2014-09-04,138000000
VGG19,2014-09-04,144000000
VILA-13B,2023-12-12,13350839296
VILA1.5-13B,2024-05-03,13493916736
"Variational (untied weights, MC) LSTM (Large)",2015-12-16,66000000
Vector Space Model,2011-06-19,255000
Vega v2,2022-12-04,6000000000
ViT-22B,2023-02-10,21743000000
ViT-Base/32,2020-10-22,86000000
ViT-G (model soup),2022-03-10,1843000000
ViT-G/14,2021-06-08,1843000000
