Entity,Day,Training computation (petaFLOP)
Mogrifier RLSTM (WT2),2022-11-03,140
Movie Gen Video,2024-10-04,1650000000
MuZero,2019-11-19,48000
Multi-cell LSTM,2018-11-15,2.00664
MultiBand Diffusion,2023-11-08,26000
MuseNet,2019-04-25,220830.11
NAS with base 8 and shared embeddings,2016-11-05,10.5
NASv3 (CIFAR-10),2016-11-05,2200000
NETtalk reimplementation,1990-06-01,0.000035811936
NLLB,2022-07-06,17511138
NPLM (AP News),2003-03-15,1.6668692
NPLM (Brown),2003-03-15,0.13207626
NVLM-D 72B,2024-10-22,3020000000
NVLM-H 72B,2024-10-22,3020000000
NVLM-X 72B,2024-10-22,3039818200
Named Entity Recognition model,2016-03-04,96.940796
Nemotron 3 Ultra,2026-06-04,6600000000
Nemotron 3-Nano-30B-A3B,2025-12-15,480000000
Nemotron-3-8B,2023-11-15,180000000
Nemotron-4 340B,2024-06-14,18000000000
Neocognitron,1980-04-01,2.7373824e-7
NetTalk (dictionary),1987-06-06,0.000027664064
NetTalk (transcription),1987-06-06,0.000028328002
Neural LM,2000-11-28,6.339
NeuroChess,1994-12-02,0.0008587308
Noisy Student (L2),2019-11-11,26120000
Nucleotide Transformer,2023-01-15,8080000
NÜWA,2021-11-24,7245988
ONE-PEACE,2023-05-18,180000
OPT-175B,2022-05-02,430000030
Octo-Base,2024-05-20,585000
Olmo 3,2025-11-20,1100000000
OmegaPLM,2022-07-22,10351411
Once for All,2020-04-29,623700
OpenAI Five,2019-12-13,67000004
OpenAI Five Rerun,2019-12-13,13000000
OpenAI TI7 DOTA 1v1,2017-08-11,604609.5
OpenVLA,2024-06-13,110000000
PLATO-XL,2021-09-20,9900000
PLUG,2021-04-19,35997696
PaLI,2022-09-14,169000020
PaLI-X,2023-05-29,560000000
PaLM (540B),2022-04-04,2527200000
PaLM 2,2023-05-10,7339999700
PanGu-Σ,2023-03-20,467000000
Pandemonium (morse),1959-02-01,6e-7
Pangu Ultra,2025-04-10,10692001000
Pangu-Weather,2023-07-05,39800000
Parti,2022-06-22,509607970
PeptideBERT,2023-08-28,49.000004
Perceptron (1960),1960-03-30,7.2e-7
Perceptron Mark I,1957-01-01,6.948949e-10
PermuteFormer,2021-09-06,2775
Pluribus,2019-07-11,66
PoE MNIST,2000-11-28,0.051810004
Pointer Sentinel-LSTM (medium),2016-09-26,7.49
PolyCoder,2022-02-26,1100000
PolyNet,2016-11-17,64000
Pooling CNN (Caltech 101),2010-09-15,1.2211242
Pooling CNN (NORB),2010-09-15,1.4562773
Predictive Coding NN,1994-12-02,0.018621901
Print Recognition Logic,1963-01-01,2.25e-8
ProBERTa,2020-09-01,9720.001
ProGen2-xlarge,2022-06-27,13500001
Projected GAN,2021-11-01,10500
ProtBERT-BFD,2021-05-04,39000004
ProtT5-XL-U50,2021-05-04,18704498
ProteinBERT,2022-02-10,65000
PyramidNet,2017-09-06,2.34
QRNN,2018-02-01,688.66473
QwQ-32B,2025-03-06,3510000000
Qwen-72B,2023-11-30,1300000000
Qwen1.5-72B,2024-02-04,1300000000
Qwen2-72B,2024-06-07,3020000000
Qwen2.5 Instruct (72B),2024-09-19,7851600400
Qwen2.5-32B,2024-09-17,3510000000
Qwen2.5-72B,2024-09-19,7800000000
Qwen3-235B-A22B,2025-04-29,4752000000
Qwen3-235B-A22B (Jul 2025),2025-07-25,4752000000
Qwen3-235B-A22B-Thinking (Jul 2025),2025-07-25,4752000000
Qwen3-Coder-480B-A35B,2025-07-22,1575000000
Qwen3-Max,2025-09-05,15120000000
Qwen3-Omni-30B-A3B,2025-09-22,36000000
R-FCN,2016-06-21,719.3578
RCTM,2013-10-01,9.3312
RDT-1B,2024-10-10,40600000
RECONTRA-categorized,1999-06-02,0.0080136005
RECONTRA-uncategorized,1999-06-02,0.003864
RETRO-7B,2022-02-07,16800000
RNN LM,2010-09-26,53.960003
RNNsearch-50*,2014-09-01,1555.2
RNTN,2013-10-01,14.22
RankNet,2005-08-07,0.0034820817
ReLU-Speech,2013-05-26,127.733765
Reka Core,2024-04-15,8400010000
ResNeXt-101 (64×4d),2016-11-16,12000
ResNeXt-101 32x48d,2018-05-02,8743950
ResNet-101 (ImageNet),2015-12-10,7004
ResNet-152 (ImageNet),2015-12-10,10414.081
ResNet-200,2016-09-17,29741.645
RetinaNet-R101,2017-08-07,2065.392
RoBERTa Large,2019-07-01,8506700
RoFormer,2023-11-08,2162.688
RoseTTAFold All-Atom (RFAA),2023-10-09,214000.02
S4,2021-10-31,78328.625
SAF R-CNN,2015-10-28,12311.081
SB-LM,2007-06-22,1449.4465
SEER,2021-07-29,18000000
SNM-skip,2014-12-03,297600
SOM-CNN,1997-01-31,0.000031431602
SPHINX (Llama 2 13B),2023-11-13,30400000
SPIDER2,2016-10-28,18.220001
SPN-4+KN5,2014-09-14,44
SPPNet,2014-06-18,3411.072
SRU++ Large,2021-02-24,21173.705
ST-MoE,2022-02-17,290000000
SVM-CNN,2006-06-17,0.7452
Samuel Neural Checkers,1959-07-01,4.284e-7
Sandwich Transformer,2019-11-10,23504.094
SciBERT,2019-03-26,89268.48
Seed1.5-VL,2025-05-11,1388556000
"Segatron-XL large, M=384 + HCP",2022-03-21,26500
Segment Anything Model,2023-04-05,7800000
Seq2Seq LSTM,2014-09-10,56000
SexNet compression,1990-10-01,0.0000787752
Siamese-TDNN,1993-08-01,0.01286957
SigLIP 400M,2023-03-27,4946730.5
Skywork-13B,2023-10-30,250000000
SmooCT,2014-07-01,69
Sparse all-MLP,2022-04-14,532224
Speaker-independent vowel classification,1989-11-27,0.000007485696
Stable Diffusion (LDM-KL-8-G),2022-04-13,50000000
Stable Diffusion 3,2024-02-22,50000000
StarCoder,2023-05-09,84600000
Statement Curriculum Learning,2022-03-02,17901648
Student of Games,2021-12-06,36679270
StyleGAN,2018-12-12,39.3
StyleGAN3-R,2021-06-21,2427840
StyleGAN3-T,2021-06-21,1702080
Swift,2023-08-30,53.37
Swin Transformer V2 (SwinV2-G),2021-11-18,1100000
Switch,2021-01-11,82200000
System 11,1996-06-18,0.000025859617
T5-11B,2019-10-23,33000000
T5-3B,2019-10-23,9000000
TA-CNN,2014-11-29,10.854
TC-DNN-BLSTM-DNN,2015-04-06,194.10193
TD-Gammon,1992-05-01,0.018232157
TaLK Convolution,2020-02-08,26990.346
Telechat2-115B,2024-09-20,6900000300
Tensor-Transformer(1core)+PN (WT103),2020-03-17,1580
Theseus,1950-07-02,4e-14
Tranception,2022-05-27,7240000.5
TransE,2013-12-05,1340.928
Transformer (2017),2017-06-12,7424.525
Transformer (Adaptive Input Embeddings) WT103,2018-09-28,44700
Transformer + Simple Recurrent Unit,2018-09-17,11000
Transformer local-attention (NesT-B),2021-05-26,24057.602
Transformer-XL (257M),2019-01-09,378327.72
Transformer-XL DeFINE (141M),2019-11-27,1742.76
Transformer-XL Large + Phrase Induction,2019-06-04,378486.53
TransformerXL + spectrum control,2020-03-11,26289.762
Translation-invariant MLP,1987-06-15,0.000018032948
TrellisNet,2018-10-15,2780
Turing ULRv5,2021-09-28,28983952
Turing-NLG,2020-02-13,15700000
Two Stage Feature Extraction (MNIST),2009-09-01,0.020754
U-Net,2015-05-18,50.832253
U-PaLM (540B),2022-10-20,2530000100
UDSMProt,2019-09-04,637
UL2,2022-05-10,120000000
UnifiedQA,2020-05-02,16500
Unsupervised High-level Feature Learner,2012-07-12,600
VALL-E,2023-01-05,10100
VD-LSTM+REAL Large,2016-11-04,21.3
VGG16,2014-09-04,12291
VGG19,2014-09-04,11000
VILA-13B,2023-12-12,2300313.5
VILA1.5-13B,2024-05-03,2300313.5
"Variational (untied weights, MC) LSTM (Large)",2015-12-16,5.886144
Vega v2,2022-12-04,77600000
ViT-22B,2023-02-10,193248000
ViT-G (model soup),2022-03-10,3400000.2
ViT-G/14,2021-06-08,58500000
ViT-Huge/14,2020-10-22,4262000
VideoMAE V2,2023-03-29,9700000
Visualizing CNNs,2013-11-12,532
Volcano 13B,2023-11-13,45600000
WeNet (Penn Treebank),2019-04-08,730
Weight Decay,1991-12-02,0.000075474
Whisper,2022-09-21,4207266.5
Word2Vec (large),2013-10-16,38.879997
XGLM-7.5B,2021-12-20,22500000
XLM-RoBERTa,2019-11-05,20760000
XLMR-XXL,2021-08-17,33660000
XLNet,2019-06-01,6190000
Xception,2016-10-07,436000
YOLOX-X,2021-08-06,634275
YOLOv3,2018-04-08,13416.381
Yi-34B,2023-11-02,610000060
Yi-Large,2024-05-13,1800000000
Yi-Lightning,2024-10-18,1500000000
Yuan 1.0,2021-10-12,353800030
Zidong Taichu,2021-08-11,801600
Zip CNN,1989-12-01,0.001496338
aLSTM(depth-2)+RecurrentPolicy (WT2),2018-05-22,72.96
base LM+GNN+kNN,2021-10-17,52587.457
eDiff-I,2022-11-02,54600.004
genCNN + dyn eval,2015-03-17,34.15345
gpt-oss-120b,2025-08-05,4940000000
gpt-oss-20b,2025-08-05,549000000
iCCCP,2010-06-13,1.08
mT5-XXL,2020-10-20,82000000
nekomata-14b,2023-12-21,255620000
trRosetta,2019-08-22,38047.97
wave2vec 2.0 LARGE,2020-10-22,3870720
xTrimoPGLM -100B,2023-07-06,620000000
