Entity,Day,Training dataset size
ViT-G/14,2021-06-08,3000000000
ViT-G/14 (LiT),2021-11-15,1040000000000
ViT-Huge/14,2020-10-22,303000000
VideoMAE V2,2023-03-29,1243350000
Visualizing CNNs,2013-11-12,7680000
WaveNet,2016-09-12,11520000000
WeNet (Penn Treebank),2019-04-08,929000
Weight Decay,1991-12-02,25000
Whisper,2022-09-21,12403200000
Wide Residual Network,2016-09-19,1280000
Word2Vec (large),2013-10-16,330000000000
Word2Vec (small),2013-10-16,10000000000
XGLM-7.5B,2021-12-20,500000000000
XLM-RoBERTa,2019-11-05,167000000000
XLMR-XXL,2021-08-17,167000000000
XLNet,2019-06-01,32890000000
Xception,2016-10-07,350000000
YOLOX-X,2021-08-06,2500000
YOLOv2,2016-12-25,1280000
YOLOv3,2018-04-08,5430000
Yi-34B,2023-11-02,3100000000000
Yi-Large,2024-05-13,3000000000000
Yuan 1.0,2021-10-12,180000000000
Zip CNN,1989-12-01,7291
aLSTM(depth-2)+RecurrentPolicy (WT2),2018-05-22,2000000
base LM+GNN+kNN,2021-10-17,103000000
data2vec (language),2022-01-20,131072000000
data2vec (speech),2022-01-20,17510400
data2vec (vision),2022-01-20,251108740
eDiff-I,2022-11-02,1556275300000
genCNN + dyn eval,2015-03-17,929000
iCCCP,2010-06-13,10000
mPLUG-Owl2,2023-11-07,182032800000
mT0-13B,2022-11-03,20000000000
mT5-XXL,2020-10-20,1000000000000
nekomata-14b,2023-12-21,66000000000
top-down frozen classifier,2021-02-09,3408000
wave2vec 2.0 LARGE,2020-10-22,4598395400
